#,Department,Phase,KPI / Feature Name,Rationale / Definition,Prototype Status,Dashboard Widget / UX,References,Flyout Detail (Right Panel),Source ? Fields,RAG / Thresholds,Source System & Access,Frequency,Personas,Decision,Prototype Trace,Drill-down Depth,Formula
?  ORG PULSE — OVERVIEW,,,,,,,,,,,,,,,,,
  ?  Org Pulse Dashboard,,,,,,,,index.html,,,,,,,,,
1,Org Pulse,P1,Engineering Summary Card (index.html ? Engineering dept card),Rollup of Engineering unit health visible on Org Pulse home. Entry point to DM dashboard.,Live – v1,"Dept card: RAG badge + 3 capsules (Unit RAG, Avg P360, Escalations). Click?dm-home.html",Built in: Org Pulse | See: P360 Score; Escalation Age (PMO),"Right panel: Unit RAG breakdown by project, Avg P360 score with trend, open escalation list with severity. Links to dm-home.html for full DM view.","P360 SharePoint + Jira ?
1. composite RAG
2. avg P360
3. escalation count",Green: all green | Amber: any amber | Red: any red,"P360 SharePoint/Jira — P360 SharePoint, Jira Read",Daily,"Primary: Leadership | Secondary: DM, PMO",Pending Review,Deferred,—,? Source mapping not yet provided for Org Pulse. Awaiting team's Pulse_Data Mapping update for this department.
9,Engineering,P1,YTD Billing Forecast (DM View) (Financials tab ? YTD Billing Forecast (DM View)),Revenue actuals vs plan per account for current year at the DM's unit level. DM-level subset of the PMO Financials view. Primary home: PMO ? Financials tab.,Live – v1,Horizontal bar rows per account: invoiced vs plan with gap indicator. Click any account to open flyout.,Built in: Engineering | See: Revenue Projections (PMO); Billing Data Accuracy (PMO),"1. Monthly billing bar chart: actual (green), projected (blue), plan (grey) per month
2. Invoice table: month, invoiced amount, plan, status
3. Gap vs plan callout with action owner
4. YTD summary: total invoiced, total plan, overall gap","Source list: AM-DM Dashboard. Fields:
1. AM-DM Dashboard.PMO Dashboard ? invoiced_amount (Raw)
2. AM-DM Dashboard ? plan_amount (Cleaned)
3. AM-DM Dashboard ? account_name (Cleaned)
4. AM-DM Dashboard ? month (DM unit filter) (Cleaned).",Green: ?100% vs plan | Amber: 85–99% | Red: <85%,ERP / Finance Read,Monthly,"Primary: Delivery Manager | Secondary: Finance Head, Account Manager",Pending Review,Deferred,—,PMO Dashboard
10,Engineering,P2,M+1 / M+2 Revenue Outlook (DM View) (Financials tab ? M+1 / M+2 Revenue Outlook (DM View)),Forward 2-month billing projection for the DM's accounts. DM subset of PMO's 3-month horizon view.,Live - v2,"Projection bars: M, M+1, M+2 per account with confidence shade; gap vs plan indicator",Built in: Engineering | See: YTD Billing Forecast; Revenue Projections (PMO),"1. Account-level projection: contracted value, milestone dates, % milestone confirmed, projected invoice amount M+1 and M+2
2. Scenario toggle: Base / Upside / Downside
3. Link to full PMO projections view","Source list: Projectons. Fields:
1. Projectons ? contracted_value (Cleaned)
2. Projectons ? milestones (Cleaned)
3. Projectons ? billing_schedule (DM unit filter) (Cleaned).",Green: projected ?95% of plan | Amber: 80–94% | Red: <80%,"ERP / SOW — ERP, SOW Repository",Monthly,Primary: Delivery Manager | Secondary: Finance Head,Approved (built in v2.0),Deferred,—,"Gap = plan_amount ? invoiced_amount
Gap % = invoiced_amount / plan_amount × 100"
  ?  Mining & Escalations,,,,,,,,"1. dm-home.html ? Mining & Escalations tab (temporary home
2. will move to Account Management module)",,,,,,,,,
11,Engineering,P1,Mining Threads — Active Deliverables (Mining & Escalations ? Mining Threads — Active Deliverables),Swimlane view of active mining and cross-sell opportunities with delivery status per account. Note: permanent home will be Account Management module when built.,Live – v1,"Swimlane: status pills (Late/At Risk/On Track/Done) per account; filter tabs by status; summary banner (Total, Late, At Risk, Done this week)",Built in: Engineering | See: Account Escalations Register,"1. Account-level thread detail: mining thread name, owner, last update date, days since last update, next milestone, notes
2. Status history timeline
3. Link to CRM opportunity","Source list: CRM / Pulse. Fields:
1. CRM / Pulse ? mining_thread_id
2. CRM / Pulse ? account_name
3. CRM / Pulse ? status
4. CRM / Pulse ? owner
5. CRM / Pulse ? last_updated
6. CRM / Pulse ? milestone.",Green: all on track | Amber: ?1 at risk | Red: any late or overdue,CRM / Pulse Read,Weekly,"Primary: Delivery Manager | Secondary: Account Manager, Sales",Pending Review,Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
12,Engineering,P1,Account Escalations Register (Mining & Escalations ? Account Escalations Register),"Open escalations across DM's accounts with severity, owner, and age. DM must act within SLA. Note: permanent home will be Account Management module.",Live – v1,"Escalation list: severity badge (Critical/High/Medium), account, open date, age in days, owner; sorted by severity then age",Built in: Engineering | See: Mining Threads; Open Escalation Age (PMO),"1. Escalation detail: full description, severity, account, open date, age, owner
2. Resolution history timeline with dates and notes
3. Communication log
4. Expected resolution date
5. Escalation SLA status
6. Action buttons (Reassign / Mark Resolved / Escalate to Leadership)","Source list: CRM / Helpdesk. Fields:
1. CRM / Helpdesk ? escalation_id
2. CRM / Helpdesk ? severity
3. CRM / Helpdesk ? account_name
4. CRM / Helpdesk ? owner
5. CRM / Helpdesk ? open_date
6. CRM / Helpdesk ? status
7. CRM / Helpdesk ? resolution_notes.",Green: 0 open | Amber: 1–2 open | Red: ?3 open OR any >7 days without update,CRM / Helpdesk Read,Daily,"Primary: Delivery Manager | Secondary: Account Manager, PMO",Pending Review,Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
  ?  P360 Performance,,,,,,,,dm-home.html ? P360 Performance tab,,,,,,,,,
13,Engineering,P1,P360 Score — Composite (P360 Performance (mini tiles); p360-detail.html (full) ? P360 Score — Composite),Weighted composite score across 6 dimensions per engagement. Replaces gut-feel with a consistent multi-dimensional health signal. Mini tiles live in dm-home; full detail in p360-detail.,Live – v1,"Mini score tiles (2×2) in DM Home: score badge, RAG border, 3 dim chips. Click?full flyout.",Built in: Engineering | See: Sprint Health; CSAT (PMO),"1. 6-dimension score bars: Competence (15%), Discipline (25%), Quality Coverage (20%), Quality Consistency (10%), Budget (10%), Visibility (20%) — each RAG-coloured
2. 4-sprint composite trend chart (bar/line toggle)
3. Action items linked to this project
4. Data accuracy flag if P360 entry overdue
5. Deep link to P360 SharePoint for manual update","Source list: JIRA, P360 SharePoint, PMO Repo. Fields:
1. JIRA.projectKey ? project_id (Raw)
2. P360 SharePoint ? composite_score
3. P360 SharePoint ? dimension_scores[6]
4. P360 SharePoint ? sprint_history[4]
5. P360 SharePoint ? data_accuracy_flag
6. PMO Repo ? TSS score.",Green: ?8.0 | Amber: 6.0–7.9 | Red: <6.0 | Weighted composite across 6 dimensions,P360 SharePoint / Jira — P360 SharePoint; PMO Repo,Monthly,"Primary: Delivery Manager | Secondary: PMO, Account Manager",Pending Review,Deferred,—,projectKey
14,Engineering,P2,P360 Dimension Detail (p360-detail.html ? P360 Dimension Detail),Drill into each of the 6 P360 dimensions per engagement with sub-criteria and 4-sprint trend.,Live - v2,Clickable dimension chips on P360 tile; each chip highlights and opens dimension detail below,Built in: Engineering | See: P360 Score — Composite,"1. Dimension detail panel: sub-criterion scores with RAG
2. 4-sprint trend for that dimension
3. Narrative text from last P360 entry
4. Recommended action if below threshold
5. No separate flyout — detail expands inline within the P360 flyout","Source list: P360 SharePoint. Fields:
1. P360 SharePoint ? dimension-level sub-scores
2. P360 SharePoint ? narrative_text per project.","Same RAG as composite: ?8 Green, 6–7.9 Amber, <6 Red per dimension",P360 SharePoint,Monthly,Primary: Delivery Manager | Secondary: PMO,Approved (built in v2.0),Deferred,—,composite_score = (Competence×0.15) + (Discipline×0.25) + (Qual_Coverage×0.20) + (Qual_Consistency×0.10) + (Budget×0.10) + (Visibility×0.20)
  ?  People & Resource,,,,,,,,dm-home.html ? People KPIs tab ? kpi-people.html,,,,,,,,,
15,Engineering,P1,Golden Ratio (Billable:Non-billable) (Golden Ratio tile ? Golden Ratio (Billable:Non-billable)),Ratio of billable FTEs to total FTEs in the unit. Core efficiency indicator for the DM.,Live – v1,"KPI tile: ratio value (e.g. 1:7.2), RAG top-border, sub-label showing absolute counts; click?flyout",Built in: Engineering | See: Resource Utilization (HR); Team Utilization,"1. Billable vs non-billable headcount breakdown: list of each category with names, role, project
2. Trend: ratio over last 6 months vs target
3. Comparison to org-wide target ratio
4. Action flag if ratio below threshold","Source list: Keka / HRMS. Fields:
1. Keka / HRMS.employee_id ? employee_id (Raw)
2. Keka / HRMS.state ? billable_flag (Raw)
3. Keka / HRMS ? unit
4. Keka / HRMS.department ? dept (Raw).",Green: ?1:8 | Amber: 1:6–1:7.9 | Red: <1:6,Keka Read,Monthly,"Primary: Delivery Manager | Secondary: HR Head, Finance",Pending Review,Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
16,Engineering,P1,Bench & Utilization (Bench & Utilization tile ? Bench & Utilization),"Unified view of idle capacity (bench) and billable utilization per resource. Color-coding distinguishes bench (grey), optimal (green), over-allocated (red) within a single tile. Eliminates the need for separate bench and utilization cards.",Live – v1,"Utilization gauge tile: each resource shown as a color-coded bar — grey=bench, green=75–100%, amber=60–74% or 100–110%, red=<60% or >110%; bench count badge + over-allocated count badge; click?flyout",Built in: Engineering | See: Resource Projection Gap; Bench Heatmap (PMO); Golden Ratio,"1. Two-section flyout: BENCH — Name
2. Skills
3. Days on bench
4. Last project
5. Matching open pipeline deals
6. UTILIZATION — Name
7. Role
8. Allocated %
9. Billed %
10. Over/Under flag
11. Forward 4-week utilization per resource
12. Sort by extremes (longest bench first, then most over-allocated)","Source list: Keka / Resource Management, Resource Management. Fields:
1. Keka / Resource Management.employee_id ? employee_id (Raw)
2. Resource Management.Allocation ? allocation_status (Raw)
3. Resource Management.Updated date Where state == 'bench' ? bench_start_date (Cleaned)
4. Resource Management.Resource master[Skill set] ? skills[] (Raw)
5. Resource Management ? project_id (Cleaned)
6. Resource Management.Assignment ? allocated_hrs (Raw)
7. Resource Management.Assignment * Bill Rate ? invoiced_hrs (Cleaned)
8. Resource Management.state ? billable_flag (Raw).",Green: bench ?3 AND utilization 75–100% | Amber: bench 4–6 OR utilization 60–74%/100–110% | Red: bench >6 OR utilization <60%/>110%,Keka / Resource Mgmt — Keka / Resource Management,Weekly,"Primary: Delivery Manager | Secondary: PMO, HR Head",Pending Review,Deferred,—,Golden Ratio = COUNT(billable_flag='billable') / COUNT(ALL employees in unit)
17,Engineering,P1,Hiring & Attrition (DM View) (Hiring & Attrition tile ? Hiring & Attrition (DM View)),Unit-level open roles and recent exits. Flags talent risk for active engagements.,Live – v1,KPI tile: open roles count + exits count; RAG; click?flyout,Built in: Engineering | See: JR Approval Turnaround (TA); Attrition Early Warning (HR),"1. Two sections in flyout: Open Roles — JD title, days open, stage, target start date
2. Exits — name (anonymised), exit date, reason category, KT status; Risk flag if exit impacts active project","Source list: Keka, Tara ATS + Keka. Fields:
1. Keka.TA dashboard ? open_positions_count (Raw)
2. Tara ATS + Keka.HR (excel/email) ? exits_this_month per unit (Cleaned).",Green: 0 exits AND ?2 open | Amber: 1 exit OR 3–4 open | Red: ?2 exits OR ?5 open,"Tara / Keka — Tara ATS, Keka Read",Weekly,"Primary: Delivery Manager | Secondary: TA Head, HR Head",Pending Review,Deferred,—,"utilization_pct = invoiced_hrs / allocated_hrs × 100
bench_start_date = Updated date WHERE state == 'bench'"
18,Engineering,P1,Attendance (Attendance tile ? Attendance),Unit attendance rate. Flags absences that could impact sprint commitment. Data sourced from HR ? Attendance Pattern (HR Workforce Health tab); DM view is a unit-filtered subset.,Live – v1,"KPI tile: attendance %, RAG; click?flyout (borrows HR Attendance Pattern data, filtered to DM unit)",Built in: Engineering | See: Attendance Pattern & WFH (HR),"1. Calendar heat map: each employee's attendance per day for current month
2. WFH vs office split
3. Top 5 absentees by days absent
4. Leave balance warnings
5. Source: HR Workforce Health ? Attendance Pattern (unit filter applied)","Source list: Keka. Fields:
1. Keka.HR Dashboard ? employee_id (Raw)
2. Keka ? date (Raw)
3. Keka ? attendance_status (Raw)
4. Keka ? work_location (Raw)
5. Keka ? leave_balance (unit filter = DM's projects) (Raw).",Green: ?96% | Amber: 92–95% | Red: <92%,Keka,Daily,Primary: Delivery Manager | Secondary: HR Head,Pending Review,hr.html,L2,"open_positions_count from Keka TA dashboard
exits_this_month = HR (excel/email)"
19,Engineering,P1,Appraisals (Appraisals tile ? Appraisals),Appraisal completion % for unit staff. Flags overdue manager evaluations during appraisal cycle.,Live – v1,KPI tile: completion %; RAG; click?flyout,Built in: Engineering | See: Appraisal Cycle Adherence (HR),"1. Pending evaluators list: Manager name
2. Appraisee name
3. Due date
4. Days overdue
5. Status
6. Escalation flag if >14 days overdue
7. Summary: completed vs pending counts","Source list: PMS. Fields:
1. PMS ? manager_id (Raw)
2. PMS ? appraisee_id (Raw)
3. PMS ? appraisal_due_date (Raw)
4. PMS ? submission_status (Raw).",Green: ?90% | Amber: 75–89% | Red: <75%,PMS,Per appraisal cycle,"Primary: Delivery Manager | Secondary: HR Head, Manager",Pending Review,Deferred,—,"attendance_rate = COUNT(attendance_status IN ('Present','WFH')) / COUNT(working_days) × 100"
20,Engineering,P1,Succession (Succession tile ? Succession),Count of critical roles in unit with no identified successor. Key continuity risk.,Live – v1,KPI tile: gap count; RAG; click?flyout,Built in: Engineering | See: Succession Gap (HR),"1. Critical roles list: Role title
2. Incumbent
3. Successor identified (Y/N)
4. If yes: successor name, readiness level (Ready Now / 1 Year / 2 Year)
5. Roles with no successor flagged red
6. Recommended action per gap","Source list: Keka / HR SharePoint Succession Module. Fields:
1. Keka / HR SharePoint Succession Module ? role_id (Raw)
2. Keka / HR SharePoint Succession Module ? criticality_flag
3. Keka / HR SharePoint Succession Module ? successor_id (Raw)
4. Keka / HR SharePoint Succession Module ? readiness_level (Raw).",Green: 0 gaps | Amber: 1 gap | Red: ?2 gaps,Keka / HR SharePoint — Keka Succession Module,Quarterly,Primary: Delivery Manager | Secondary: HR Head,Pending Review,Deferred,—,"completion_pct = COUNT(submission_status='Submitted') / COUNT(ALL appraisals in unit) × 100
days_overdue = TODAY() ? appraisal_due_date WHERE submission_status != 'Submitted'"
21,Engineering,P2,Resource Projection Gap (Planned – v2 (People & Resource expanded view) ? Resource Projection Gap),Delta between resource demand from active + pipeline deals and available supply. Flags hiring need early.,Deferred,Supply vs demand bars for next 4/8/12 weeks per project; portfolio shortfall/surplus summary,Built in: Engineering | See: Team Utilization; Bench Heatmap (PMO),"1. Week-by-week demand vs capacity table per project
2. Skills gap: which skills are short by how many FTEs
3. Bench resources with matching skills highlighted
4. Probability-weighted demand toggle for pipeline deals","Source list: Resource Mgmt Projections, Allocation List. Fields:
1. Resource Mgmt Projections ? project_id
2. Resource Mgmt Projections ? forecast_week
3. Resource Mgmt Projections ? required_FTE
4. Resource Mgmt Projections ? required_skills[]
5. Allocation List ? available FTEs by skill.",Red: shortfall >1 FTE for ?2 consecutive weeks | Amber: ?1 FTE gap or single-week gap | Green: demand met,Resource Mgmt — Resource Management Tool,Monthly,"Primary: Delivery Manager | Secondary: PMO, HR Head",Deferred per user (May 2026),Deferred,—,succession_gaps = COUNT(roles WHERE successor_id IS NULL AND criticality_flag = TRUE)
  ?  DEFERRED — Engineering (out of scope for current build cycle),,,,,,,,,,,,,,,,,
22,Engineering,P3,Client Sentiment & Risk (— ? Client Sentiment & Risk),NLP-based sentiment scoring from meeting transcripts. Deferred — NLP service and transcript pipeline not yet available.,Deferred,—,Built in: Engineering | See: —,No flyout — deferred item,"Source list: —. Fields:
1. — ? —.",—,—,—,Primary: — | Secondary: —,Deferred,Deferred,—,
23,Engineering,P3,Sprint Velocity Trend (8-sprint rolling) (—),8-sprint rolling velocity analysis. Available via Jira export. Excel-only analytical layer.,Deferred,—,Built in: Engineering | See: —,No flyout — deferred item,—,—,—,—,Primary: — | Secondary: —,Deferred,Deferred,—,—
?  SALES,,,,,,,,,,,,,,,,,
  ?  Meeting Readiness,,,,,,,,Planned – v2 (Sales Meeting Readiness screen),,,,,Secondary: Planned – v2,,,,
24,Sales,P1,Battle Cards for Meetings (Planned – v2 (Sales screen)),Tracks meeting preparation quality. Untracked prep creates no accountability and allows reps to walk into high-stakes meetings underprepared.,Live - v2,Readiness card: % meetings with battle card uploaded ?1d before meeting; traffic light per upcoming meeting,Built in: Sales | See: Call Conduct Score,"1. Meeting table: Account
2. Scheduled Date
3. Battle Card Upload Date
4. Days Before Meeting
5. Status
6. Flagged if no card or <24h before
7. Trend: % prep done this month vs prior 2 months
8. Rep-level accountability breakdown","CRM Appointments ?
1. meeting_id
2. account
3. scheduled_date
4. rep

CRM Custom ? battle_card_upload_date",Red: no card OR <24h before | Amber: 1–2d before | Green: ?3d before,CRM; battle_card_upload_date field required,Fortnightly,Primary: Sales Head | Secondary: Sales Rep,Approved (built in v2.0),Deferred,—,Not in Schema
25,Sales,P1,Call Conduct Score (Planned – v2 (Sales screen)),Objective call quality score per rep. Creates feedback loop that systematically improves rep capability.,Live - v2,Avg call score per rep — current month + prior 2 months; trend arrow,Built in: Sales | See: Battle Cards for Meetings,"1. Rep-level score table: Rep
2. Month
3. Score
4. Category breakdown
5. Calls below threshold highlighted
6. Coaching flag if 3+ consecutive calls below threshold
7. 6-month trend chart per rep","CRM Call Logs ?
1. call_id
2. rep_name
3. call_date

CRM Custom ?
1. call_quality_score
2. score_categories[]",Red: avg <6/10 | Amber: declining trend ?2 months | Green: ?6 and stable or improving,CRM; call scoring rubric must be defined,Monthly,Primary: Sales Head | Secondary: Sales Rep,Approved (built in v2.0),Deferred,—,Not in Schema
  ?  Pipeline Activity,,,,,,,,"1. sales.html (Funnel, TOFU, Aging live)
2. Task Aging planned",,,,,,,,,
26,Sales,P1,Pipeline Funnel by Stage (sales.html ? Pipeline Funnel card),Deal distribution across pipeline stages. Identifies stage-specific bottlenecks and conversion gaps at a glance.,Live – v1,Funnel chart: deal count and value per stage (Prospect ? Qualified ? Proposal ? Negotiation ? Won/Lost),Built in: Sales | See: Activity Aging on Opportunities; BOFU Stage Duration,"1. Stage drill-down: deal list for selected stage — Account
2. Value
3. Rep
4. Days in Stage
5. Last Activity
6. Next Step
7. Stage conversion rate vs prior month
8. Click any deal to open CRM record","CRM ?
1. opp_id
2. stage
3. estimated_value
4. rep_name
5. stage_entered_date
6. last_activity_date",Green: BOFU?Won conversion >30% | Amber: 20–30% | Red: <20%,CRM Read,Weekly,"Primary: Sales Head | Secondary: CEO, Sales Rep",Pending Review,Deferred,—,"updated date where status == ""In Progress"""
27,Sales,P1,New Leads — Top of Funnel (TOFU) (sales.html ? New Leads card),Count of new leads generated this month. Tracks top-of-funnel health and marketing/SDR effectiveness.,Live – v1,"Metric card: lead count, MoM change arrow, source breakdown (inbound/outbound/referral)",Built in: Sales | See: Pipeline Funnel by Stage,"1. Lead list: Account
2. Source Channel
3. Assigned Rep
4. Date Qualified
5. Current Stage
6. Status
7. Source mix pie chart
8. MoM trend vs target
9. Rep-level lead count breakdown","CRM ?
1. lead_id
2. created_date
3. source
4. assigned_rep
5. qualification_status",Green: ?target | Amber: 80–99% of target | Red: <80%,CRM Read,Monthly,Primary: Sales Head | Secondary: Marketing Head,Pending Review,Deferred,—,? Source mapping not yet provided for Sales. Awaiting team's Pulse_Data Mapping update for this department.
